company_id,city,source,name,credit_code,address,lng_wgs84,lat_wgs84,coord_source,coord_quality,business_scope,driver_num,vehicle_num,snapshot
,宁波,nb_company,,,,,,,missing,,7.0,7.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,0.0,19.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,19.0,16.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,4.0,6.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,27.0,16.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,12.0,12.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,23.0,23.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,7.0,6.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,14.0,15.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,30.0,30.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,11.0,14.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,51.0,52.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,13.0,10.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,36.0,35.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,28.0,34.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,15.0,14.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,13.0,13.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,11.0,11.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,18.0,16.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,78.0,73.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,8.0,6.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,88.0,86.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,18.0,19.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,13.0,13.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,22.0,21.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,6.0,6.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,16.0,10.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,32.0,28.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,3.0,4.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,7.0,7.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,5.0,7.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,2.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,3.0,2.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,7.0,7.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,14.0,10.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,10.0,8.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,12.0,15.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,1.0,1.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,27.0,30.0,2026-09-02
,宁波,nb_company,,,,,,,missing,,12.0,10.0,2026-09-02
