site_id,litter_type,litter_name,amount_kg,is_sentinel,snapshot
nb_94b3ad29-ac2d-44b2-a870-8b758c0a3b34,Litter001,工程渣土,172980000.0,False,2026-09-02
nb_94b3ad29-ac2d-44b2-a870-8b758c0a3b34,Litter002,工程弃料,13140000.0,False,2026-09-02
nb_94b3ad29-ac2d-44b2-a870-8b758c0a3b34,Litter003,工程泥浆,1170000.0,False,2026-09-02
nb_b9cbc5ce-68d1-4fdb-a82d-5ec46dfbb94a,Litter001,工程渣土,342641000.0,False,2026-09-02
nb_fa7c5016-15c0-43f4-ad4f-c606f5454812,Litter001,工程渣土,163080000.0,False,2026-09-02
nb_5c6a2780-4792-4c8e-98d4-ef0398043964,Litter001,工程渣土,37049250.0,False,2026-09-02
nb_5c6a2780-4792-4c8e-98d4-ef0398043964,Litter003,工程泥浆,49948780.0,False,2026-09-02
nb_8578c01f-3904-465e-8af7-404ac895481c,Litter001,工程渣土,286920000.0,False,2026-09-02
nb_8578c01f-3904-465e-8af7-404ac895481c,Litter002,工程弃料,5400000.0,False,2026-09-02
nb_8578c01f-3904-465e-8af7-404ac895481c,Litter003,工程泥浆,32760000.0,False,2026-09-02
nb_2aeee21d-b987-4b64-8aa8-d171afa0aa5e,Litter002,工程弃料,5400000.0,False,2026-09-02
nb_bfd08186-e287-4e74-b347-41206241dd93,Litter001,工程渣土,65370600.0,False,2026-09-02
nb_bfd08186-e287-4e74-b347-41206241dd93,Litter003,工程泥浆,103350000.0,False,2026-09-02
nb_2063df64-2966-4c72-a82f-230747f9ec2a,Litter001,工程渣土,284400000.0,False,2026-09-02
nb_2063df64-2966-4c72-a82f-230747f9ec2a,Litter003,工程泥浆,42157040.0,False,2026-09-02
nb_8f3379b9-13b4-4e22-b1ba-49cd36650304,Litter001,工程渣土,324000000.0,False,2026-09-02
nb_41392568-5cbe-45cd-a956-7cf75ff0a500,Litter001,工程渣土,102600000.0,False,2026-09-02
nb_41392568-5cbe-45cd-a956-7cf75ff0a500,Litter003,工程泥浆,1296110.0,False,2026-09-02
nb_27c46f8c-3867-431d-9b01-363b2cb4238c,Litter001,工程渣土,272982600.0,False,2026-09-02
nb_27c46f8c-3867-431d-9b01-363b2cb4238c,Litter003,工程泥浆,55826082.0,False,2026-09-02
nb_27c46f8c-3867-431d-9b01-363b2cb4238c,Litter005,拆除弃料,15400000.0,False,2026-09-02
nb_ec1d426f-8b50-42b4-b731-e300ed0647bc,Litter001,工程渣土,277859430.0,False,2026-09-02
nb_ec1d426f-8b50-42b4-b731-e300ed0647bc,Litter003,工程泥浆,64786566.0,False,2026-09-02
nb_ec1d426f-8b50-42b4-b731-e300ed0647bc,Litter005,拆除弃料,26000000.0,False,2026-09-02
nb_6e4b04dc-4fed-4d4e-b8f4-cd1f9749fb79,Litter001,工程渣土,248400000.0,False,2026-09-02
nb_6e4b04dc-4fed-4d4e-b8f4-cd1f9749fb79,Litter003,工程泥浆,35378421.0,False,2026-09-02
nb_6e4b04dc-4fed-4d4e-b8f4-cd1f9749fb79,Litter005,拆除弃料,16296000.0,False,2026-09-02
nb_ca80dd22-8b1a-4244-bae8-dfd902ef5218,Litter001,工程渣土,17048000.0,False,2026-09-02
nb_26e2fba0-7782-4129-852d-4e22d4c8c070,Litter001,工程渣土,285800000.0,False,2026-09-02
nb_26e2fba0-7782-4129-852d-4e22d4c8c070,Litter003,工程泥浆,19500000.0,False,2026-09-02
nb_26e2fba0-7782-4129-852d-4e22d4c8c070,Litter005,拆除弃料,24950000.0,False,2026-09-02
nb_ec857f6c-9007-41e5-8801-10b5ad5de00c,Litter001,工程渣土,381600000.0,False,2026-09-02
nb_ec857f6c-9007-41e5-8801-10b5ad5de00c,Litter003,工程泥浆,78000000.0,False,2026-09-02
nb_9b91149b-ed2f-4e6e-9ee8-7b632f904772,Litter001,工程渣土,1661004000.0,False,2026-09-02
nb_9b91149b-ed2f-4e6e-9ee8-7b632f904772,Litter003,工程泥浆,60327800.0,False,2026-09-02
nb_33163735-c405-4e98-be0b-40bc5a78453b,Litter001,工程渣土,178490000.0,False,2026-09-02
nb_59c0ff7e-06a7-402b-9f1b-ba30488a3a08,Litter001,工程渣土,108000000.0,False,2026-09-02
nb_068abf6a-1bcc-4756-afda-70b406d0c513,Litter001,工程渣土,655137000.0,False,2026-09-02
nb_068abf6a-1bcc-4756-afda-70b406d0c513,Litter003,工程泥浆,66300000.0,False,2026-09-02
nb_068abf6a-1bcc-4756-afda-70b406d0c513,Litter005,拆除弃料,27501000.0,False,2026-09-02
nb_25478296-d8d6-4567-838e-4f98bbb7342c,Litter001,工程渣土,1236440000.0,False,2026-09-02
nb_25478296-d8d6-4567-838e-4f98bbb7342c,Litter003,工程泥浆,45110000.0,False,2026-09-02
nb_0657b1c3-4a2a-4330-b273-9c26590366c9,Litter001,工程渣土,200000000.0,False,2026-09-02
nb_60d7ad77-c6b5-47d2-8470-cfb10e617352,Litter001,工程渣土,187990000.0,False,2026-09-02
nb_60d7ad77-c6b5-47d2-8470-cfb10e617352,Litter003,工程泥浆,595260000.0,False,2026-09-02
nb_2ca4ad48-a7aa-4655-9a29-9f8268c6505e,Litter001,工程渣土,91800000.0,False,2026-09-02
nb_b7163d78-3f53-4bac-960f-e649e0b9ed82,Litter001,工程渣土,457500000.0,False,2026-09-02
nb_b7163d78-3f53-4bac-960f-e649e0b9ed82,Litter003,工程泥浆,540200000.0,False,2026-09-02
nb_7216e64f-b11d-45e8-8e18-914d285b8df1,Litter001,工程渣土,1440240000.0,False,2026-09-02
nb_7216e64f-b11d-45e8-8e18-914d285b8df1,Litter003,工程泥浆,61900000.0,False,2026-09-02
nb_421c8724-06e7-427a-b78c-d2144acdf59e,Litter001,工程渣土,1338606000.0,False,2026-09-02
nb_421c8724-06e7-427a-b78c-d2144acdf59e,Litter003,工程泥浆,65063000.0,False,2026-09-02
nb_336db810-7bc2-452a-b884-ce094d3f6dbe,Litter001,工程渣土,471000000.0,False,2026-09-02
nb_336db810-7bc2-452a-b884-ce094d3f6dbe,Litter003,工程泥浆,563800000.0,False,2026-09-02
nb_be218797-9cd4-4a42-8828-e1d31c1c499c,Litter001,工程渣土,1440000000.0,False,2026-09-02
nb_be218797-9cd4-4a42-8828-e1d31c1c499c,Litter003,工程泥浆,78000000.0,False,2026-09-02
nb_0fa2e51e-8d04-49cb-bb21-b6d663f72bc2,Litter001,工程渣土,130000000.0,False,2026-09-02
nb_0fa2e51e-8d04-49cb-bb21-b6d663f72bc2,Litter003,工程泥浆,280000000.0,False,2026-09-02
nb_f1b3a38c-b3f6-4975-b328-5c329cc0dac4,Litter001,工程渣土,505240740.0,False,2026-09-02
nb_f1b3a38c-b3f6-4975-b328-5c329cc0dac4,Litter003,工程泥浆,43956000.0,False,2026-09-02
nb_9e1b4e7c-dbeb-42ef-8438-80e67cce80dc,Litter001,工程渣土,439153200.0,False,2026-09-02
nb_9e1b4e7c-dbeb-42ef-8438-80e67cce80dc,Litter003,工程泥浆,41470000.0,False,2026-09-02
nb_b29f427e-ed20-461f-b39c-3154b46eac68,Litter001,工程渣土,259330000.0,False,2026-09-02
nb_b29f427e-ed20-461f-b39c-3154b46eac68,Litter003,工程泥浆,132920000.0,False,2026-09-02
nb_da567245-836e-455c-bfb8-ee47d023d8c3,Litter001,工程渣土,176688000.0,False,2026-09-02
nb_da567245-836e-455c-bfb8-ee47d023d8c3,Litter002,工程弃料,32700000.0,False,2026-09-02
nb_2107d466-3db1-43eb-b90f-716956804e51,Litter001,工程渣土,306324000.0,False,2026-09-02
nb_011f5569-5375-4a00-bf3a-e6d43ee3da84,Litter001,工程渣土,160942400.0,False,2026-09-02
nb_efffc4f5-5002-40ee-bf2d-c9b322322a00,Litter001,工程渣土,304560000.0,False,2026-09-02
nb_efffc4f5-5002-40ee-bf2d-c9b322322a00,Litter003,工程泥浆,10192572.0,False,2026-09-02
nb_efffc4f5-5002-40ee-bf2d-c9b322322a00,Litter005,拆除弃料,44046000.0,False,2026-09-02
nb_7ddfd507-007a-464c-af9f-a4980003480c,Litter001,工程渣土,321771600.0,False,2026-09-02
nb_7ddfd507-007a-464c-af9f-a4980003480c,Litter003,工程泥浆,41379000.0,False,2026-09-02
nb_0b937066-57c4-4153-9dc2-7148cb145344,Litter001,工程渣土,931000000.0,False,2026-09-02
nb_0b937066-57c4-4153-9dc2-7148cb145344,Litter002,工程弃料,6000000.0,False,2026-09-02
nb_0b937066-57c4-4153-9dc2-7148cb145344,Litter003,工程泥浆,1400900000.0,False,2026-09-02
nb_0b937066-57c4-4153-9dc2-7148cb145344,Litter005,拆除弃料,14136000.0,False,2026-09-02
nb_cc7a8b77-2a2d-4803-a475-02a074e4135d,Litter001,工程渣土,1597998949.02,False,2026-09-02
nb_cc7a8b77-2a2d-4803-a475-02a074e4135d,Litter003,工程泥浆,21025000.0,False,2026-09-02
nb_90d0aebc-4bf2-4887-b43b-ad28a14ecd7d,Litter001,工程渣土,1010000000.0,False,2026-09-02
nb_90d0aebc-4bf2-4887-b43b-ad28a14ecd7d,Litter003,工程泥浆,39000000.0,False,2026-09-02
nb_90d0aebc-4bf2-4887-b43b-ad28a14ecd7d,Litter005,拆除弃料,55800000.0,False,2026-09-02
nb_165d3f83-a1f7-4764-95c5-c6933b420428,Litter001,工程渣土,268528000.0,False,2026-09-02
nb_4b588b60-1141-4f9b-9a75-76b4c4d1f188,Litter001,工程渣土,360000000.0,False,2026-09-02
nb_4b588b60-1141-4f9b-9a75-76b4c4d1f188,Litter005,拆除弃料,31000000.0,False,2026-09-02
nb_6b00dd2f-8fe5-431d-ae34-825d1ed3a6b5,Litter001,工程渣土,640000000.0,False,2026-09-02
nb_35f09417-c90d-411e-8848-45ec63d859f9,Litter001,工程渣土,531055000.0,False,2026-09-02
nb_35f09417-c90d-411e-8848-45ec63d859f9,Litter003,工程泥浆,68055000.0,False,2026-09-02
nb_35f09417-c90d-411e-8848-45ec63d859f9,Litter005,拆除弃料,34592410.0,False,2026-09-02
nb_262fa999-e4f5-4ee2-a221-48d325f13b2a,Litter001,工程渣土,19212966.0,False,2026-09-02
